MPS4000 Validation Report
S/N:,251
Date,2015/01/01
Time,04:55:44
Channels,64
Pressures,15
Temperatures,3
Error Limit,0.06
 ,Temp,Full Scale,Target,Source,MPS,,Percent
Chan,Deg C,Pressure,Pressure,Pressure,Pressure,Delta,Error
22,16.53,1.000,-0.714286,-0.714308,-0.714520,-0.000212,-0.021,pass
22,16.50,1.000,-0.857143,-0.857100,-0.857205,-0.000105,-0.010,pass
22,16.53,1.000,-1.000000,-1.000009,-1.000260,-0.000251,-0.025,pass
23,16.53,1.000,0.000000,0.000005,0.000000,-0.000004,-0.000,pass
23,16.53,1.000,0.142857,0.142918,0.142949,0.000031,0.003,pass
23,16.53,1.000,0.285714,0.285667,0.285831,0.000164,0.016,pass
23,16.50,1.000,0.428571,0.428620,0.428737,0.000117,0.012,pass
23,16.53,1.000,0.571429,0.571409,0.571518,0.000108,0.011,pass
23,16.56,1.000,0.714286,0.714302,0.714354,0.000052,0.005,pass
23,16.53,1.000,0.857143,0.857110,0.857245,0.000135,0.014,pass
23,16.50,1.000,1.000000,0.999998,1.000077,0.000078,0.008,pass
23,16.53,1.000,-0.142857,-0.142903,-0.142893,0.000010,0.001,pass
